0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
"(0, 0.0011051178)","(1, 0.0011051178)","(2, 0.0011051178)","(3, 0.0011051178)","(4, 0.0011051178)","(5, 0.0011051178)","(6, 0.0011051178)","(7, 0.0011051178)","(8, 0.0011051178)","(9, 0.0011051178)","(10, 0.0011051178)","(11, 0.0011051178)","(12, 0.0011051178)","(13, 0.0011051178)","(14, 0.27236116)","(15, 0.0011051178)","(16, 0.0011051178)","(17, 0.0011051178)","(18, 0.0011051178)","(19, 0.0011051178)","(20, 0.0011051178)","(21, 0.0011051178)","(22, 0.0011051178)","(23, 0.0011051178)","(24, 0.0011051178)","(25, 0.0011051178)","(26, 0.0011051178)","(27, 0.0011051178)","(28, 0.27130327)","(29, 0.0011051178)","(30, 0.0011051178)","(31, 0.19119017)","(32, 0.0011051178)","(33, 0.23088673)","(34, 0.0011051178)"
"(0, 0.48353007)","(1, 0.0012487916)","(2, 0.0012487916)","(3, 0.0012487916)","(4, 0.0012487916)","(5, 0.0012487916)","(6, 0.0012487916)","(7, 0.0012487916)","(8, 0.0012487916)","(9, 0.0012487916)","(10, 0.0012487916)","(11, 0.0012487916)","(12, 0.0012487916)","(13, 0.0012487916)","(14, 0.14056009)","(15, 0.0012487916)","(16, 0.0012487916)","(17, 0.0012487916)","(18, 0.0012487916)","(19, 0.0012487916)","(20, 0.0012487916)","(21, 0.0012487916)","(22, 0.0012487916)","(23, 0.0012487916)","(24, 0.0012487916)","(25, 0.0012487916)","(26, 0.0012487916)","(27, 0.0012487916)","(28, 0.21943082)","(29, 0.0012487916)","(30, 0.0012487916)","(31, 0.11776645)","(32, 0.0012487916)","(33, 0.0012487916)","(34, 0.0012487916)"
"(0, 0.13830422)","(1, 0.0009891542)","(2, 0.141356)","(3, 0.0009891542)","(4, 0.0009891542)","(5, 0.0009891542)","(6, 0.0009891542)","(7, 0.19797513)","(8, 0.0009891542)","(9, 0.0009891542)","(10, 0.0009891542)","(11, 0.0009891542)","(12, 0.0009891542)","(13, 0.0009891542)","(14, 0.19324888)","(15, 0.0009891542)","(16, 0.0009891542)","(17, 0.0009891542)","(18, 0.0009891542)","(19, 0.0009891542)","(20, 0.0009891542)","(21, 0.0009891542)","(22, 0.0009891542)","(23, 0.0009891542)","(24, 0.0009891542)","(25, 0.0009891542)","(26, 0.0009891542)","(27, 0.0009891542)","(28, 0.095480375)","(29, 0.0009891542)","(30, 0.0009891542)","(31, 0.20494996)","(32, 0.0009891542)","(33, 0.0009891542)","(34, 0.0009891542)"
"(0, 0.0013676158)","(1, 0.0013676158)","(2, 0.0013676158)","(3, 0.0013676158)","(4, 0.0013676158)","(5, 0.1260731)","(6, 0.0013676158)","(7, 0.0013676158)","(8, 0.0013676158)","(9, 0.0013676158)","(10, 0.0013676158)","(11, 0.25950757)","(12, 0.0013676158)","(13, 0.0013676158)","(14, 0.2477649)","(15, 0.0013676158)","(16, 0.0013676158)","(17, 0.0013676158)","(18, 0.0013676158)","(19, 0.0013676158)","(20, 0.0013676158)","(21, 0.06370798)","(22, 0.0013676158)","(23, 0.0013676158)","(24, 0.0013676158)","(25, 0.0013676158)","(26, 0.0013676158)","(27, 0.0013676158)","(28, 0.0013676158)","(29, 0.0013676158)","(30, 0.07253251)","(31, 0.19075309)","(32, 0.0013676158)","(33, 0.0013676158)","(34, 0.0013676158)"
"(0, 0.0014291904)","(1, 0.0014291904)","(2, 0.0014291904)","(3, 0.0014291904)","(4, 0.0014291904)","(5, 0.0014291904)","(6, 0.261691)","(7, 0.0014291904)","(8, 0.0014291904)","(9, 0.0014291904)","(10, 0.0014291904)","(11, 0.09728558)","(12, 0.0014291904)","(13, 0.0014291904)","(14, 0.19537733)","(15, 0.0014291904)","(16, 0.0014291904)","(17, 0.0014291904)","(18, 0.0014291904)","(19, 0.0014291904)","(20, 0.0014291904)","(21, 0.0014291904)","(22, 0.0014291904)","(23, 0.0014291904)","(24, 0.27560022)","(25, 0.0014291904)","(26, 0.0014291904)","(27, 0.12717019)","(28, 0.0014291904)","(29, 0.0014291904)","(30, 0.0014291904)","(31, 0.0014291904)","(32, 0.0014291904)","(33, 0.0014291904)","(34, 0.0014291904)"
"(0, 0.12907681)","(1, 0.0011493843)","(2, 0.0011493843)","(3, 0.0011493843)","(4, 0.0011493843)","(5, 0.0011493843)","(6, 0.0011493843)","(7, 0.0011493843)","(8, 0.0011493843)","(9, 0.0011493843)","(10, 0.0011493843)","(11, 0.0011493843)","(12, 0.0011493843)","(13, 0.0011493843)","(14, 0.0011493843)","(15, 0.0011493843)","(16, 0.0011493843)","(17, 0.0011493843)","(18, 0.0011493843)","(19, 0.0011493843)","(20, 0.0011493843)","(21, 0.17033672)","(22, 0.0011493843)","(23, 0.0011493843)","(24, 0.0011493843)","(25, 0.0011493843)","(26, 0.0011493843)","(27, 0.0011493843)","(28, 0.34150755)","(29, 0.0011493843)","(30, 0.0011493843)","(31, 0.17955263)","(32, 0.06240403)","(33, 0.0837901)","(34, 0.0011493843)"
"(0, 0.0014432502)","(1, 0.0014432502)","(2, 0.0014432502)","(3, 0.0014432502)","(4, 0.0014432502)","(5, 0.0014432502)","(6, 0.0014432502)","(7, 0.0014432502)","(8, 0.0014432502)","(9, 0.0014432502)","(10, 0.0014432502)","(11, 0.0014432502)","(12, 0.0014432502)","(13, 0.0014432502)","(14, 0.58015746)","(15, 0.0014432502)","(16, 0.0014432502)","(17, 0.0014432502)","(18, 0.29552457)","(19, 0.0014432502)","(20, 0.0014432502)","(21, 0.0014432502)","(22, 0.0014432502)","(23, 0.0014432502)","(24, 0.0014432502)","(25, 0.0014432502)","(26, 0.0014432502)","(27, 0.078133956)","(28, 0.0014432502)","(29, 0.0014432502)","(30, 0.0014432502)","(31, 0.0014432502)","(32, 0.0014432502)","(33, 0.0014432502)","(34, 0.0014432502)"
"(0, 0.3514635)","(1, 0.0011015211)","(2, 0.0011015211)","(3, 0.0011015211)","(4, 0.048634708)","(5, 0.0011015211)","(6, 0.0011015211)","(7, 0.0011015211)","(8, 0.0011015211)","(9, 0.0011015211)","(10, 0.0011015211)","(11, 0.05663849)","(12, 0.0011015211)","(13, 0.0011015211)","(14, 0.0011015211)","(15, 0.0011015211)","(16, 0.105823785)","(17, 0.0011015211)","(18, 0.0011015211)","(19, 0.0011015211)","(20, 0.0011015211)","(21, 0.274691)","(22, 0.0011015211)","(23, 0.0011015211)","(24, 0.0011015211)","(25, 0.1308044)","(26, 0.0011015211)","(27, 0.0011015211)","(28, 0.0011015211)","(29, 0.0011015211)","(30, 0.0011015211)","(31, 0.0011015211)","(32, 0.0011015211)","(33, 0.0011015211)","(34, 0.0011015211)"
"(0, 0.2177007)","(1, 0.0011479256)","(2, 0.0011479256)","(3, 0.0011479256)","(4, 0.0011479256)","(5, 0.0011479256)","(6, 0.0011479256)","(7, 0.0011479256)","(8, 0.0011479256)","(9, 0.0011479256)","(10, 0.0011479256)","(11, 0.05958285)","(12, 0.0011479256)","(13, 0.0011479256)","(14, 0.4001531)","(15, 0.0011479256)","(16, 0.068585664)","(17, 0.0011479256)","(18, 0.0011479256)","(19, 0.0011479256)","(20, 0.0011479256)","(21, 0.0011479256)","(22, 0.10312863)","(23, 0.0011479256)","(24, 0.0011479256)","(25, 0.0011479256)","(26, 0.0011479256)","(27, 0.0011479256)","(28, 0.0011479256)","(29, 0.0011479256)","(30, 0.0011479256)","(31, 0.11755925)","(32, 0.0011479256)","(33, 0.0011479256)","(34, 0.0011479256)"
"(0, 0.46499407)","(1, 0.0012591983)","(2, 0.0012591983)","(3, 0.0012591983)","(4, 0.0012591983)","(5, 0.0012591983)","(6, 0.0012591983)","(7, 0.31789178)","(8, 0.0012591983)","(9, 0.0012591983)","(10, 0.0012591983)","(11, 0.0012591983)","(12, 0.0012591983)","(13, 0.0012591983)","(14, 0.0012591983)","(15, 0.0012591983)","(16, 0.0012591983)","(17, 0.0012591983)","(18, 0.0012591983)","(19, 0.0012591983)","(20, 0.0012591983)","(21, 0.065051414)","(22, 0.0012591983)","(23, 0.0012591983)","(24, 0.0012591983)","(25, 0.0012591983)","(26, 0.0012591983)","(27, 0.0012591983)","(28, 0.0012591983)","(29, 0.0012591983)","(30, 0.113027595)","(31, 0.0012591983)","(32, 0.0012591983)","(33, 0.0012591983)","(34, 0.0012591983)"
